౧౦	పది
౧౧	పదకొండు
౧౨	పన్నెండు
౧౩	పదమూడు
౧౪	పధ్నాలుగు
౧౫	పదహారు
౧౬	పధ్నేలు
౧౭	పదిహేడు
౧౮	పధ్ధెనిమిది
౧౯	పందొమ్మిది
౨౦	ఇరవై
౨౧	ఇరవై ఒకటి
౨౨	ఇరవై రెండు
౨౩	ఇరవై మూడు
౨౪	ఇరవై నాలుగు
౨౫	ఇరవై ఐదు
౨౬	ఇరవై ఆరు
౨౭	ఇరవై ఏడు
౨౮	ఇరవై ఎనిమిది
౨౯	ఇరవై తొమ్మిది
౩౦	ముప్పై
౩౧	ముప్పై ఒకటి
౩౨	ముప్పై రెండు
౩౩	ముప్పై మూడు
౩౪	ముప్పై నాలుగు
౩౫	ముప్పై ఐదు
౩౬	ముప్పై ఆరు
౩౭	ముప్పై ఏడు
౩౮	ముప్పై ఎనిమిది
౩౯	ముప్పై తొమ్మిది
౪౦	నలభై
౪౧	నలభై ఒకటి
౪౨	నలభై రెండు
౪౩	నలభై మూడు
౪౪	నలభై నాలుగు
౪౫	నలభై ఐదు
౪౬	నలభై ఆరు
౪౭	నలభై ఏడు
౪౮	నలభై ఎనిమిది
౪౯	నలభై తొమ్మిది
౫౦	యాభై
౫౧	యాభై ఒకటి
౫౨	యాభై రెండు
౫౩	యాభై మూడు
౫౪	యాభై నాలుగు
౫౫	యాభై ఐదు
౫౬	యాభై ఆరు
౫౭	యాభై ఏడు
౫౮	యాభై ఎనిమిది
౫౯	యాభై తొమ్మిది
౬౦	అరవై
౬౧	అరవై ఒకటి
౬౨	అరవై రెండు
౬౩	అరవై మూడు
౬౪	అరవై నాలుగు
౬౫	అరవై ఐదు
౬౬	అరవై ఆరు
౬౭	అరవై ఏడు
౬౮	అరవై ఎనిమిది
౬౯	అరవై తొమ్మిది
౭౦	డెబ్బై
౭౧	డెబ్బై ఒకటి
౭౨	డెబ్బై రెండు
౭౩	డెబ్బై మూడు
౭౪	డెబ్బై నాలుగు
౭౫	డెబ్బై ఐదు
౭౬	డెబ్బై ఆరు
౭౭	డెబ్బై ఏడు
౭౮	డెబ్బై ఎనిమిది
౭౯	డెబ్బై తొమ్మిది
౮౦	ఎనభై
౮౧	ఎనభై ఒకటి
౮౨	ఎనభై రెండు
౮౩	ఎనభై మూడు
౮౪	ఎనభై నాలుగు
౮౫	ఎనభై ఐదు
౮౬	ఎనభై ఆరు
౮౭	ఎనభై ఏడు
౮౮	ఎనభై ఎనిమిది
౮౯	ఎనభై తొమ్మిది
౯౦	తొంభై
౯౧	తొంభై ఒకటి
౯౨	తొంభై రెండు
౯౩	తొంభై మూడు
౯౪	తొంభై నాలుగు
౯౫	తొంభై ఐదు
౯౬	తొంభై ఆరు
౯౭	తొంభై ఏడు
౯౮	తొంభై ఎనిమిది
౯౯	తొంభై తొమ్మిది
